Crack-Campus-Network - 114514
adguardhome - 0.107.57-r1
appfilter - 6.1.6-r30
attr - 2.5.2-r3
autocore - 5
automount - 4
autoshare-samba - 1-r2
avahi-dbus-daemon - 0.8-r9
base-files - 1667~12.04.2025
bash - 5.2.37-r1
bc - 1.07.1-r1
blkid - 2.40.2-r1
block-mount - 2024.07.14~408c2cc4-r1
boost - 1.86.0-r1
boost-program_options - 1.86.0-r1
boost-system - 1.86.0-r1
btrfs-progs - 6.11-r1
busybox - 1.36.1-r2
bzip2 - 1.0.8-r1
ca-bundle - 20250419-r1
cgi-io - 2022.08.10~901b0f04-r21
chat - 2.5.1-r1
chinadns-ng - 2025.08.09-r13
clouddrive2 - 0.9.16-r1
comgt - 0.32-r36
conntrack - 1.4.8-r1
conntrackd - 1.4.8-r1
coremark - 2025.05.01~1f483d5b-r6
coreutils - 9.7-r1
coreutils-base64 - 9.7-r1
coreutils-nohup - 9.7-r1
coreutils-stat - 9.7-r1
coreutils-stty - 9.7-r1
cpufreq - 5
curl - 8.12.1-r1
dbus - 1.14.10-r1
dns2socks - 2.1-r4
dns2tcp - 1.1.2-r2
dnsmasq-full - 2.90-r4
dosfstools - 4.2-r4
dropbear - 2024.86-r1
ds-lite - 9
e2fsprogs - 1.47.0-r2
eip197-mini-firmware - 20241110-r2
exfat-fsck - 1.2.5-r1
exfat-mkfs - 1.2.5-r1
f2fs-tools - 1.16.0-r3
f2fsck - 1.16.0-r3
fdisk - 2.40.2-r1
firewall4 - 2024.12.18~18fc0ead-r1
fitblk - 2
fstools - 2024.07.14~408c2cc4-r1
fuse-utils - 2.9.9-r2
fwtool - 2019.11.12~8f7fe925-r1
gecoosac - 2.2.20251015-r10
geoview - 0.1.11-r10
getrandom - 2024.04.26~85f10530-r1
glib2 - 2.82.0-r1
haproxy - 3.0.12-r1
hd-idle - 1.05-r2
homebox - 0.0.0-dev.2024101306-r23
hostapd-common - 2024.09.15~5ace39b0-r2
htop - 3.4.1-r1
ip-full - 6.11.0-r1
ip6tables-nft - 1.8.10-r1
iperf3 - 3.17.1-r4
ipset - 7.21-r1
ipt2socks - 1.1.4-r2
iptables-mod-conntrack-extra - 1.8.10-r1
iptables-mod-extra - 1.8.10-r1
iptables-mod-filter - 1.8.10-r1
iptables-mod-ipopt - 1.8.10-r1
iptables-mod-nfqueue - 1.8.10-r1
iptables-mod-tproxy - 1.8.10-r1
iptables-mod-u32 - 1.8.10-r1
iptables-nft - 1.8.10-r1
iw - 6.9-r1
iwinfo - 2024.10.20~b94f066e-r1
jansson4 - 2.14-r3
jq - 1.8.1-r1
jshn - 2025.07.23~49056d17-r1
jsonfilter - 2025.04.18~8a86fb78-r1
kernel - 6.6.118~1-r1
kmod-cfg80211 - 6.6.118.6.12.52-r1
kmod-crypto-acompress - 6.6.118-r1
kmod-crypto-aead - 6.6.118-r1
kmod-crypto-arc4 - 6.6.118-r1
kmod-crypto-authenc - 6.6.118-r1
kmod-crypto-blake2b - 6.6.118-r1
kmod-crypto-ccm - 6.6.118-r1
kmod-crypto-cmac - 6.6.118-r1
kmod-crypto-crc32c - 6.6.118-r1
kmod-crypto-ctr - 6.6.118-r1
kmod-crypto-des - 6.6.118-r1
kmod-crypto-ecb - 6.6.118-r1
kmod-crypto-gcm - 6.6.118-r1
